"markers"	"coef"	"pvalue"	"dataset"
"RRAGA"	0.73691940940231	0.0125300377428636	"GSE10358"
"PABPC1"	-0.446460946253171	0.118171923415978	"GSE10358"
"WDR43"	0.72034473108634	0.0143954035925442	"GSE10358"
"CDIPT"	1.28400518480138	4.1014763216953e-05	"GSE10358"
"VWA9"	-0.25135379050758	0.356806336060668	"GSE10358"
"BOP1"	NA	NA	"GSE10358"
"TAZ"	0.270670353764004	0.355169197025495	"GSE10358"
"ARMC7"	0.199009276132677	0.487043531074612	"GSE10358"
"RNASEK"	NA	NA	"GSE10358"
"METTL14"	-0.596926320648433	0.0461761893932481	"GSE10358"
"DHDDS"	0.350031555832253	0.210151949929986	"GSE10358"
"PRMT5"	0.932522377074011	0.00161385891132445	"GSE10358"
"PDXK"	0.0811065525867876	0.761845849923755	"GSE10358"
"PDCD11"	0.490179451283542	0.105282206430062	"GSE10358"
"CD3EAP"	0.662531528933937	0.021216734908078	"GSE10358"
"UBA2"	0.559132114771455	0.0625789927845402	"GSE10358"
"CAND1"	-0.655458998420103	0.0198431895835723	"GSE10358"
"ADAT2"	0.305967468698265	0.26658127177233	"GSE10358"
"NOP10"	0.400180865258083	0.144467575625345	"GSE10358"
"NUBP2"	0.222196446721456	0.437824893689598	"GSE10358"
"EIF5"	-0.247291430125623	0.393707414355869	"GSE10358"
"MYB"	0.435668209029395	0.149988039986159	"GSE10358"
"LAS1L"	0.589537405799288	0.0387955130707388	"GSE10358"
"DDX6"	-0.378124759676434	0.203012300702473	"GSE10358"
"SSU72"	0.572779967627402	0.0475713591973044	"GSE10358"
"PPIL2"	-1.25995423559386	0.000109931790116267	"GSE10358"
"B2M"	-0.601951429879006	0.0353203255130399	"GSE10358"
"NAPA"	-0.513311980572147	0.107103382100783	"GSE10358"
"STRAP"	-0.621304704910614	0.0224842067555887	"GSE10358"
"MOB4"	-0.759380140589843	0.010455788697253	"GSE10358"
"TFRC"	-0.683340812406613	0.0160878563140163	"GSE10358"
"TCP1"	NA	NA	"GSE10358"
"NCKAP1L"	0.865795918855728	0.00630473924333485	"GSE10358"
"SLC39A7"	-0.766294945860918	0.0079190722122175	"GSE10358"
"QRSL1"	0.664747994537586	0.0219641086176497	"GSE10358"
"ARID1A"	0.259655046025936	0.374742720388928	"GSE10358"
"VBP1"	0.682577866607326	0.0128640435031171	"GSE10358"
"MRPL4"	0.254313264550129	0.364772292240083	"GSE10358"
"CINP"	0.344559029105664	0.199653159194212	"GSE10358"
"WDR1"	-0.784133620464115	0.00648563704879452	"GSE10358"
"KDSR"	0.790057896866444	0.00849912417074136	"GSE10358"
"WDR5"	1.03476929065802	0.000784783662869134	"GSE10358"
"SLC25A3"	1.04290238518808	0.000590233667910904	"GSE10358"
"GALE"	0.143675002897145	0.601921396783226	"GSE10358"
"TBCD"	0.306231626766579	0.275983453773522	"GSE10358"
"FAM96B"	0.603846371032055	0.039695929381323	"GSE10358"
"TAMM41"	0.0970669863813368	0.73175242348438	"GSE10358"
"DLST"	NA	NA	"GSE10358"
"CFLAR"	0.500670700981087	0.0603755683999281	"GSE10358"
"CXCR4"	-0.382012076721756	0.163599685135539	"GSE10358"
"GFM1"	0.862393951255037	0.00360618508108475	"GSE10358"
"TUT1"	-0.532624908757167	0.060826230306511	"GSE10358"
"ELP6"	-0.195259169624432	0.495679606667035	"GSE10358"
"DDX41"	0.170745302931338	0.5349618157871	"GSE10358"
"ATP1B3"	0.343705848608324	0.235741558120087	"GSE10358"
"ITPK1"	0.845448183855551	0.00522805804896554	"GSE10358"
"WDR75"	0.615089263662004	0.030141469476273	"GSE10358"
"MRPS25"	1.0800806947837	0.000217945560237465	"GSE10358"
"TUFM"	0.10149319398754	0.72005536800535	"GSE10358"
"CAPZB"	0.912872761533375	0.00239447512013676	"GSE10358"
"PSMG3"	-0.105203350380499	0.71366397725208	"GSE10358"
"GPN3"	0.784513085590016	0.00538762442809405	"GSE10358"
"UBE2D3"	-0.31518116956515	0.252385412723226	"GSE10358"
"ARPC2"	0.661208972613479	0.0296360120753486	"GSE10358"
"ATP5SL"	0.846582289293513	0.00310730452255961	"GSE10358"
"FLII"	0.757954611740905	0.00908397161441245	"GSE10358"
"TRIT1"	0.269093485997166	0.347637804656628	"GSE10358"
"HSPA14"	-0.39617842244709	0.172681957088212	"GSE10358"
"ARPC4"	0.0929159505476793	0.745262522469796	"GSE10358"
"CSNK2B"	-0.0450673538501256	0.876086071244738	"GSE10358"
"URM1"	0.110710906631087	0.702765416871324	"GSE10358"
"TAPBP"	-0.197624284642544	0.485442545924371	"GSE10358"
"EXOSC2"	0.657129215284454	0.0221185696159498	"GSE10358"
"UROD"	0.347382716279749	0.221582958631032	"GSE10358"
"GNAI2"	-0.192229946199529	0.477552031412815	"GSE10358"
"FECH"	-0.367270238734498	0.221758426905629	"GSE10358"
"MAU2"	0.294217265546183	0.290160054181078	"GSE10358"
"RCL1"	-0.0957013437704516	0.740526768595137	"GSE10358"
"PDS5A"	-0.507011675232211	0.0998828960340369	"GSE10358"
"HAUS4"	NA	NA	"GSE10358"
