"ma_vitro"	"hm_vitro"	"ma_vivo"	"hm_vivo"	"group"	"humanSymbol"	"acNum"	"reNum"
0	0	1	1	"vivo_only"	"FERMT3"	4	0
1	1	1	1	"shared"	"PPCDC"	3	0
1	0	1	0	"shared"	"MEF2C"	3	0
1	1	1	1	"shared"	"ACO2"	3	0
1	1	1	0	"shared"	"TUBG2"	3	0
1	1	0	0	"vitro_only"	"FKBP1A"	3	0
0	0	0	0	"ND"	"DOCK1"	3	0
0	0	0	0	"ND"	"ULK3"	3	0
0	1	0	0	"vitro_only"	"SSBP4"	3	0
0	0	0	0	"ND"	"HTR1F"	3	0
1	1	1	1	"shared"	"CDIPT"	2	0
1	1	1	1	"shared"	"PRMT5"	2	0
1	1	1	1	"shared"	"WDR5"	2	0
1	1	1	1	"shared"	"GFM1"	2	0
1	1	1	1	"shared"	"ITPK1"	2	0
1	1	0	1	"shared"	"UMPS"	2	0
1	1	1	1	"shared"	"PPP2R4"	2	0
1	1	1	1	"shared"	"RFT1"	2	0
1	1	0	1	"shared"	"TRMT112"	2	0
1	1	1	1	"shared"	"DNAJC17"	2	0
1	1	0	1	"shared"	"CAD"	2	0
1	1	1	1	"shared"	"ACTL6A"	2	0
1	1	1	1	"shared"	"TSEN2"	2	0
1	1	1	1	"shared"	"UPF1"	2	0
1	1	1	1	"shared"	"CTPS1"	2	0
1	1	1	1	"shared"	"HNRNPA0"	2	0
1	1	1	1	"shared"	"BCS1L"	2	0
0	1	1	1	"shared"	"DAXX"	2	0
0	0	1	1	"vivo_only"	"TAP2"	2	0
1	1	1	1	"shared"	"UBL5"	2	0
0	0	1	1	"vivo_only"	"SLC19A1"	2	0
1	1	1	1	"shared"	"RAB10"	2	0
1	1	0	1	"shared"	"GRWD1"	2	0
1	1	0	1	"shared"	"BYSL"	2	0
1	1	1	1	"shared"	"MEN1"	2	0
1	1	0	1	"shared"	"FDPS"	2	0
1	1	1	1	"shared"	"PDSS2"	2	0
1	1	1	1	"shared"	"POP1"	2	0
1	1	1	1	"shared"	"PPCS"	2	0
1	1	1	1	"shared"	"ASH2L"	2	0
1	1	1	1	"shared"	"MRPL34"	2	0
1	1	1	1	"shared"	"DNAJC11"	2	0
1	0	1	0	"shared"	"HSPA4"	2	0
1	1	1	1	"shared"	"WDR4"	2	0
1	1	0	1	"shared"	"G6PD"	2	0
1	1	1	1	"shared"	"POP4"	2	0
1	1	0	1	"shared"	"MRPL20"	2	0
1	1	1	1	"shared"	"KIAA0196"	2	0
1	1	1	1	"shared"	"MRPL14"	2	0
1	1	1	1	"shared"	"ALG8"	2	0
1	1	1	1	"shared"	"FDX1L"	2	0
1	1	1	1	"shared"	"PEX19"	2	0
1	1	1	1	"shared"	"ATXN10"	2	0
1	1	0	1	"shared"	"RRS1"	2	0
1	1	1	1	"shared"	"DCPS"	2	0
1	0	1	1	"shared"	"COPS7A"	2	0
0	1	1	1	"shared"	"RER1"	2	0
1	1	1	1	"shared"	"HOXA9"	2	0
0	0	1	1	"vivo_only"	"TLN1"	2	0
1	1	0	1	"shared"	"MRPL36"	2	0
1	1	0	1	"shared"	"IRF2BP2"	2	0
1	1	1	1	"shared"	"MGAT2"	2	0
1	0	1	1	"shared"	"BLOC1S1"	2	0
0	0	1	1	"vivo_only"	"TPST2"	2	0
1	1	0	0	"vitro_only"	"LPCAT3"	2	0
1	1	0	0	"vitro_only"	"EIF2B1"	2	0
1	1	0	0	"vitro_only"	"ZMYND19"	2	0
0	0	1	1	"vivo_only"	"TRMT12"	2	0
1	1	0	1	"shared"	"ADIPOR2"	2	0
1	1	0	0	"vitro_only"	"PRMT3"	2	0
0	0	0	0	"ND"	"CACNB3"	2	0
0	0	0	0	"ND"	"FZD1"	2	0
0	0	0	0	"ND"	"TMEM97"	2	0
0	0	0	0	"ND"	"SLC44A1"	2	0
0	0	0	0	"ND"	"TSPAN2"	2	0
0	0	0	1	"vivo_only"	"ILK"	2	0
0	0	0	0	"ND"	"INPP5B"	2	0
0	0	0	1	"vivo_only"	"BTBD6"	2	0
0	0	0	0	"ND"	"CAMK1D"	2	0
1	1	1	1	"shared"	"BOP1"	1	0
1	1	1	1	"shared"	"ARMC7"	1	0
1	1	1	1	"shared"	"CD3EAP"	1	0
1	1	1	1	"shared"	"NUBP2"	1	0
1	1	1	1	"shared"	"PPIL2"	1	1
1	1	1	1	"shared"	"NAPA"	1	0
1	0	1	1	"shared"	"NCKAP1L"	1	0
1	1	1	1	"shared"	"KDSR"	1	0
1	1	1	1	"shared"	"SLC25A3"	1	0
1	1	1	1	"shared"	"TBCD"	1	0
1	1	1	1	"shared"	"FAM96B"	1	0
1	1	0	1	"shared"	"TUT1"	1	0
1	1	1	1	"shared"	"ELP6"	1	0
1	1	1	1	"shared"	"MRPS25"	1	0
1	1	1	1	"shared"	"CAPZB"	1	0
1	1	1	1	"shared"	"PSMG3"	1	0
1	1	1	1	"shared"	"GPN3"	1	0
1	1	1	1	"shared"	"ARPC2"	1	0
1	1	1	1	"shared"	"ATP5SL"	1	0
0	0	1	1	"vivo_only"	"FLII"	1	0
1	1	1	1	"shared"	"ARPC4"	1	0
1	1	1	1	"shared"	"URM1"	1	0
1	1	0	1	"shared"	"EXOSC2"	1	0
1	1	1	1	"shared"	"UROD"	1	0
