"gene"	"ma_vitro"	"hm_vitro"	"ma_vivo"	"hm_vivo"	"group"
"Rraga Mm"	1	1	1	1	"shared"
"Pabpc1 Mm"	1	1	1	1	"shared"
"Wdr43 Mm"	1	1	1	1	"shared"
"Cdipt Mm"	1	1	1	1	"shared"
"Vwa9 Mm"	1	1	1	1	"shared"
"Efl1 Mm"	1	1	1	1	"shared"
"Nelfcd Mm"	1	1	1	1	"shared"
"Bop1 Mm"	1	1	1	1	"shared"
"Taz Mm"	1	1	1	1	"shared"
"Armc7 Mm"	1	1	1	1	"shared"
"Rnasek Mm"	1	1	1	1	"shared"
"Mettl14 Mm"	1	1	1	1	"shared"
"Dhdds Mm"	1	1	1	1	"shared"
"Prmt5 Mm"	1	1	1	1	"shared"
"Pdxk Mm"	1	1	1	1	"shared"
"Pdcd11 Mm"	1	1	1	1	"shared"
"Cd3eap Mm"	1	1	1	1	"shared"
"Uba2 Mm"	1	1	1	1	"shared"
"Cand1 Mm"	1	1	1	1	"shared"
"Adat2 Mm"	1	1	1	1	"shared"
"Nop10 Mm"	1	1	1	1	"shared"
"Nubp2 Mm"	1	1	1	1	"shared"
"Eif5 Mm"	1	1	1	1	"shared"
"Myb Mm"	1	1	1	1	"shared"
"Las1l Mm"	1	1	1	1	"shared"
"Ddx6 Mm"	1	1	1	1	"shared"
"Ssu72 Mm"	1	1	1	1	"shared"
"Ppil2 Mm"	1	1	1	1	"shared"
"B2m Mm"	0	0	1	1	"vivo_only"
"Napa Mm"	1	1	1	1	"shared"
"Strap Mm"	1	1	1	1	"shared"
"Mob4 Mm"	1	1	1	1	"shared"
"Tfrc Mm"	1	1	0	1	"shared"
"Tcp1 Mm"	1	1	0	1	"shared"
"Nckap1l Mm"	1	0	1	1	"shared"
"Slc39a7 Mm"	1	1	1	1	"shared"
"Qrsl1 Mm"	1	1	1	1	"shared"
"Arid1a Mm"	1	1	1	1	"shared"
"Vbp1 Mm"	1	1	1	1	"shared"
"Mrpl4 Mm"	1	1	1	1	"shared"
"Cinp Mm"	1	1	1	1	"shared"
"Wdr1 Mm"	1	1	1	1	"shared"
"Kdsr Mm"	1	1	1	1	"shared"
"Wdr5 Mm"	1	1	1	1	"shared"
"Slc25a3 Mm"	1	1	1	1	"shared"
"Gale Mm"	1	0	1	1	"shared"
"Tbcd Mm"	1	1	1	1	"shared"
"Fam96b Mm"	1	1	1	1	"shared"
"Tamm41 Mm"	1	1	1	1	"shared"
"Dlst Mm"	1	1	1	1	"shared"
"Cflar Mm"	1	1	1	1	"shared"
"Cxcr4 Mm"	0	0	1	1	"vivo_only"
"Gfm1 Mm"	1	1	1	1	"shared"
"Tut1 Mm"	1	1	0	1	"shared"
"Elp6 Mm"	1	1	1	1	"shared"
"Ddx41 Mm"	1	1	1	1	"shared"
"Atp1b3 Mm"	1	1	1	1	"shared"
"Itpk1 Mm"	1	1	1	1	"shared"
"Wdr75 Mm"	1	1	1	1	"shared"
"Mrps25 Mm"	1	1	1	1	"shared"
"Tufm Mm"	1	1	1	1	"shared"
"Capzb Mm"	1	1	1	1	"shared"
"Psmg3 Mm"	1	1	1	1	"shared"
"Gpn3 Mm"	1	1	1	1	"shared"
"Ube2d3 Mm"	1	1	1	1	"shared"
"Arpc2 Mm"	1	1	1	1	"shared"
"Atp5sl Mm"	1	1	1	1	"shared"
"Flii Mm"	0	0	1	1	"vivo_only"
"Trit1 Mm"	1	1	1	1	"shared"
"Hspa14 Mm"	1	1	1	1	"shared"
"Arpc4 Mm"	1	1	1	1	"shared"
"Csnk2b Mm"	1	1	1	1	"shared"
"Urm1 Mm"	1	1	1	1	"shared"
"Eif2s3x Mm"	1	1	0	1	"shared"
"Tapbp Mm"	0	0	1	1	"vivo_only"
"Exosc2 Mm"	1	1	0	1	"shared"
"Urod Mm"	1	1	1	1	"shared"
"Gnai2 Mm"	0	1	1	1	"shared"
"Fech Mm"	1	1	1	1	"shared"
"Gatb Mm"	1	1	1	1	"shared"
"Lsm8 Mm"	1	1	1	1	"shared"
"Mau2 Mm"	1	1	1	1	"shared"
"Rcl1 Mm"	1	1	1	1	"shared"
