MR	NumUP	NumDN	Index_maVitro	Index_maVivo	Index_hmVitro	Index_hmVivo	Index_Focused
TFAM	4	0	0	0	0	0	0
POLR3C	1	0	0	0	0	0	0
POLR2K	4	0	0	0	0	0	0
RFXANK	5	0	0	0	0	0	0
RCHY1	3	0	0	0	0	0	0
IMPA2	5	0	0	0	0	0	0
CLIC1	3	0	0	0	0	0	0
MSRB2	4	0	0	0	0	0	0
PRDX3	7	0	0	0	0	0	0
RAB2A	3	0	0	0	0	0	0
EDF1	1	0	0	0	0	0	0
CHIC2	2	0	0	0	0	0	0
SUPT4H1	1	0	0	0	0	0	0
ENY2	2	0	1	1	1	1	1
ABT1	1	0	1	0	1	1	1
VAPA	2	0	0	0	0	0	0
MBD4	2	0	0	0	0	0	1
ARL3	5	0	0	0	0	0	0
GTF2H5	5	0	1	1	0	1	1
TMX1	2	0	0	0	0	0	0
SDHC	7	0	0	0	0	0	0
NEDD8	3	0	0	0	0	0	0
ARL1	5	0	0	0	0	0	0
ATG5	3	0	0	0	0	0	0
PPIE	5	0	0	0	0	0	0
THAP11	5	0	0	0	0	0	0
FNTA	4	0	1	1	1	1	1
TDP2	2	0	0	0	0	0	0
SLIRP	4	0	0	0	0	0	0
ASCC1	2	0	0	0	0	0	0
RPS27L	3	0	0	0	0	0	0
TRIAP1	2	0	0	0	0	0	0
PIN1	2	0	0	0	0	0	0
DERL2	2	0	0	0	0	0	0
FEZ2	1	0	0	0	0	0	0
M6PR	4	0	0	0	0	0	0
NDUFA13	2	0	0	0	0	0	0
UBA3	2	0	0	0	0	0	0
ATF1	2	0	0	0	0	0	0
DAP3	4	0	0	0	0	0	0
GOLT1B	2	0	0	0	0	0	0
ELP5	1	0	1	1	1	1	1
IFT27	2	0	0	0	0	0	0
C1D	2	0	0	0	0	0	0
TFPT	2	0	0	0	0	0	0
PHB	4	0	0	0	0	0	0
YWHAE	4	0	0	0	0	0	0
CHMP5	3	0	1	1	1	1	1
ZMAT5	2	0	0	0	0	0	0
GTF2E2	6	0	0	0	0	0	0
RAB14	1	0	0	0	0	0	0
TXN	2	0	0	0	0	0	0
GLRX2	4	0	0	0	0	0	0
CBX3	2	0	0	0	0	0	0
FIBP	2	0	0	0	0	0	0
SDHD	6	0	0	0	0	0	0
ANP32A	2	0	0	0	0	0	0
ENO1	2	0	0	0	0	0	0
PARK7	5	0	0	0	0	0	0
CNBP	3	0	0	0	0	0	0
TAF12	7	0	0	0	0	0	0
SNX17	4	0	0	0	0	0	0
THAP1	5	0	0	0	0	0	0
ZNF706	1	0	1	1	1	1	1
SDHB	4	0	0	0	0	0	0
MAPK9	5	0	0	0	0	0	0
SNW1	1	0	0	0	0	0	0
NEK4	2	0	0	0	0	0	0
DR1	2	0	0	0	0	0	0
MCTS1	4	0	1	1	1	1	1
STK3	1	0	0	0	0	0	0
ACTL6A	1	0	1	1	1	1	1
FH	3	0	1	1	1	1	1
MEAF6	2	0	1	1	1	1	1
CCNH	2	0	0	0	0	0	0
SCAND1	1	0	0	0	0	0	0
PFDN5	2	0	1	1	1	1	1
EXT2	3	0	0	0	0	0	0
ZNF330	1	0	0	0	0	0	0
ZNF277	2	0	0	0	0	0	0
NDUFS4	1	0	0	0	0	0	0
PSMC5	3	0	0	0	0	0	0
PYCARD	3	0	0	0	0	0	0
RAB9A	1	0	0	0	0	0	0
RAP1GDS1	4	0	1	1	1	1	1
TDG	3	0	0	0	0	0	0
ELP3	1	0	1	1	1	1	1
NBN	1	0	0	0	0	0	0
PRDX4	4	0	0	0	0	0	0
CDK7	1	0	0	0	0	0	0
NMI	4	0	0	0	0	0	0
IDE	2	0	0	0	0	0	0
SNAPC5	4	0	0	0	0	0	0
MIF	2	0	1	0	1	0	1
PSMC3	1	0	0	0	0	0	0
MTDH	2	0	0	0	0	0	0
MED8	1	0	1	1	1	1	1
MED28	2	0	0	0	0	0	0
C1QBP	2	0	0	0	0	0	0
SUMO1	2	0	0	0	0	0	0
HAT1	3	0	0	0	0	0	0
COPS5	3	0	0	0	0	0	0
UNC50	2	0	0	0	0	0	0
TRIP4	2	0	0	0	0	1	1
STAMBP	4	0	0	0	0	0	0
UBE2N	3	0	0	0	0	0	0
POLR2L	1	0	0	0	0	0	0
ZNHIT1	3	0	0	0	0	0	0
WDR77	1	0	0	0	0	0	0
PQBP1	1	0	0	0	0	0	0
CNOT7	1	0	0	0	0	0	0
BUD31	2	0	0	0	0	0	0
ZMYM6	2	0	0	0	0	0	0
PSENEN	1	0	0	0	0	0	0
SRI	2	0	0	0	0	0	0
POLR3K	5	0	0	0	0	0	0
CEBPG	2	0	0	0	0	0	0
HDAC1	4	0	0	0	0	0	0
HSPE1	3	0	0	0	0	0	0
GTF2A2	4	0	0	0	0	0	0
ZNHIT3	3	0	0	0	0	0	0
AIP	1	0	0	0	0	0	0
MGST3	2	0	0	0	0	0	0
GDI2	2	0	0	0	0	0	0
ADAM10	1	0	0	0	0	0	0
YEATS4	2	0	0	0	0	0	0
MED7	3	0	0	0	0	0	0
PAK2	4	0	0	0	0	0	0
CYCS	2	0	0	0	0	0	0
RBCK1	1	0	0	0	0	0	0
PTEN	1	0	0	0	0	0	0
ARF3	4	0	0	0	0	0	0
G3BP1	3	0	0	0	0	0	0
