"xGene"	"ma_vitro"	"hm_vitro"	"ma_vivo"	"hm_vivo"	"group"
"Mm 0610009D07Rik"	1	0	0	0	"vitro_only"
"Mm 1110004E09Rik"	1	1	0	0	"vitro_only"
"Mm 1110008L16Rik"	1	0	1	0	"shared"
"Mm 1110037F02Rik"	1	0	0	0	"vitro_only"
"Mm 1200014J11Rik"	1	0	0	0	"vitro_only"
"Mm 1700093K21Rik"	1	0	0	0	"vitro_only"
"Mm 1810013L24Rik"	1	1	0	0	"vitro_only"
"Mm 2310003H01Rik"	1	0	1	0	"shared"
"Mm 2310047M10Rik"	1	1	0	0	"vitro_only"
"Mm 2310057M21Rik"	1	0	1	0	"shared"
"Mm 2700060E02Rik"	1	0	0	0	"vitro_only"
"Mm 2810004N23Rik"	1	0	0	0	"vitro_only"
"Mm 4921539E11Rik"	1	0	1	0	"shared"
"Mm 4930422G04Rik"	1	0	0	0	"vitro_only"
"Mm 4933434E20Rik"	1	0	0	0	"vitro_only"
"Mm March6"	1	0	1	0	"shared"
"Mm 6820408C15Rik"	1	0	0	0	"vitro_only"
"Mm 9130011E15Rik"	1	0	0	0	"vitro_only"
"Mm A130010J15Rik"	1	0	0	0	"vitro_only"
"Mm A430107P09Rik"	1	0	0	0	"vitro_only"
"Mm AI597479"	1	0	0	0	"vitro_only"
"Mm Aamp"	1	1	0	0	"vitro_only"
"Mm Aars2"	1	1	0	0	"vitro_only"
"Mm Aatf"	1	0	0	0	"vitro_only"
"Mm Abcb7"	1	0	0	0	"vitro_only"
"Mm Abce1"	1	1	0	0	"vitro_only"
"Mm Abhd13"	1	0	0	0	"vitro_only"
"Mm Abt1"	1	0	0	0	"vitro_only"
"Mm Aco2"	1	0	1	1	"shared"
"Mm Acp1"	1	0	0	0	"vitro_only"
"Mm Acsl4"	1	0	0	0	"vitro_only"
"Mm Actb"	1	0	0	0	"vitro_only"
"Mm Actl6a"	1	1	0	0	"vitro_only"
"Mm Actr10"	1	1	0	0	"vitro_only"
"Mm Actr2"	1	1	0	0	"vitro_only"
"Mm Actr6"	1	0	0	0	"vitro_only"
"Mm Adar"	1	0	1	0	"shared"
"Mm Adat2"	1	1	0	0	"vitro_only"
"Mm Adat3"	1	0	0	0	"vitro_only"
"Mm Adipor1"	1	0	0	0	"vitro_only"
"Mm Ago2"	1	0	1	0	"shared"
"Mm Agps"	1	1	0	0	"vitro_only"
"Mm Ahctf1"	1	0	0	0	"vitro_only"
"Mm Ahcy"	1	0	0	0	"vitro_only"
"Mm Ak2"	1	1	0	0	"vitro_only"
"Mm Ak6"	1	0	1	1	"shared"
"Mm Aldh16a1"	1	0	0	0	"vitro_only"
"Mm Aldoa"	1	0	0	0	"vitro_only"
"Mm Alg11"	1	1	0	0	"vitro_only"
"Mm Alg14"	1	1	0	0	"vitro_only"
"Mm Alg1"	1	0	0	0	"vitro_only"
"Mm Alyref"	1	0	1	0	"shared"
"Mm Anapc10"	1	0	0	0	"vitro_only"
"Mm Anapc11"	1	1	0	0	"vitro_only"
"Mm Anapc1"	1	1	0	0	"vitro_only"
"Mm Ankle2"	1	0	0	0	"vitro_only"
"Mm Ankrd11"	1	0	1	0	"shared"
"Mm Ankrd17"	1	0	1	0	"shared"
"Mm Ankrd40"	1	1	0	0	"vitro_only"
"Mm Anks3"	1	0	0	0	"vitro_only"
"Mm Anp32b"	1	0	0	0	"vitro_only"
"Mm Ap1g1"	1	1	0	0	"vitro_only"
"Mm Ap1m1"	1	1	0	0	"vitro_only"
"Mm Ap1s1"	1	1	0	0	"vitro_only"
"Mm Ap2m1"	1	0	0	0	"vitro_only"
"Mm Apex1"	1	0	0	1	"shared"
"Mm Apoc4"	1	0	0	0	"vitro_only"
"Mm Aqr"	1	0	0	0	"vitro_only"
"Mm Arf1"	1	1	0	0	"vitro_only"
"Mm Arfrp1"	1	1	0	1	"shared"
"Mm Arglu1"	1	1	1	0	"shared"
"Mm Arhgef25"	1	0	0	0	"vitro_only"
"Mm Armc7"	1	1	0	0	"vitro_only"
"Mm Arpc2"	1	0	1	1	"shared"
"Mm Arpc4"	1	1	0	0	"vitro_only"
"Mm Ascc3"	1	0	1	0	"shared"
"Mm Asna1"	1	0	0	0	"vitro_only"
"Mm Asun"	1	1	0	0	"vitro_only"
"Mm Atad3a"	1	1	0	0	"vitro_only"
"Mm Atf7ip"	1	0	0	0	"vitro_only"
"Mm Atg12"	1	0	0	0	"vitro_only"
"Mm Atg4d"	1	0	0	0	"vitro_only"
"Mm Atg5"	1	0	0	0	"vitro_only"
"Mm Atic"	1	1	0	0	"vitro_only"
"Mm Atmin"	1	0	0	0	"vitro_only"
"Mm Atp1a3"	1	0	0	0	"vitro_only"
"Mm Atp1b3"	1	1	0	1	"shared"
"Mm Atp5a1"	1	1	0	0	"vitro_only"
"Mm Atp5b"	1	1	0	0	"vitro_only"
"Mm Atp5f1"	1	1	0	1	"shared"
"Mm Atp5l"	1	1	0	0	"vitro_only"
"Mm Atp5sl"	1	0	1	0	"shared"
"Mm Atp6v0b"	1	1	0	0	"vitro_only"
"Mm Atp6v0c"	1	1	0	0	"vitro_only"
"Mm Atp6v0e"	1	0	0	1	"shared"
"Mm Atp6v1a"	1	0	0	0	"vitro_only"
"Mm Atp6v1b2"	1	1	0	0	"vitro_only"
"Mm Atp6v1c1"	1	1	0	1	"shared"
"Mm Atp6v1d"	1	0	1	0	"shared"
"Mm Atpaf2"	1	1	1	0	"shared"
"Mm Atrip"	1	0	0	0	"vitro_only"
"Mm Atr"	1	0	0	0	"vitro_only"
"Mm Atxn10"	1	0	0	0	"vitro_only"
"Mm Atxn2l"	1	0	0	0	"vitro_only"
