"PathwayName"	"DataBase"	"SignatureSize"	"PathwaySize"	"Overlap"	"Pvalue"	"Qvalue"	"OverlapGenes"
"NAKAMURA_CANCER_MICROENVIRONMENT_UP"	"MSigDB_c2_cgp_v5"	"1361"	"  17"	"  0"	"8.026722e-01"	"9.533924e-01"	""
"NAKAMURA_CANCER_MICROENVIRONMENT_DN"	"MSigDB_c2_cgp_v5"	"1361"	"  43"	"  2"	"7.631457e-01"	"9.338102e-01"	"ARTN HOMER2"
"WEST_ADRENOCORTICAL_TUMOR_MARKERS_UP"	"MSigDB_c2_cgp_v5"	"1361"	"  18"	"  0"	"8.206496e-01"	"9.623252e-01"	""
"WEST_ADRENOCORTICAL_TUMOR_MARKERS_DN"	"MSigDB_c2_cgp_v5"	"1361"	"  16"	"  2"	"1.732906e-01"	"4.662732e-01"	"NR4A2 LSP1"
"WINTER_HYPOXIA_UP"	"MSigDB_c2_cgp_v5"	"1361"	"  83"	"  3"	"9.511170e-01"	"1.000000e+00"	"METTL22 VEGFA PPP4R1"
"WINTER_HYPOXIA_DN"	"MSigDB_c2_cgp_v5"	"1361"	"  45"	"  8"	"1.839872e-02"	"1.395293e-01"	"ITM2A SYNPO2 ATP8A1 PARM1 GIMAP1 CD79A KIAA0226L ICAM2"
"PARENT_MTOR_SIGNALING_UP"	"MSigDB_c2_cgp_v5"	"1361"	" 502"	" 51"	"1.782851e-01"	"4.674828e-01"	"STAT1 RAB3GAP1 ZER1 PRRC2B MADD CD40 THBS3 RGP1 ALAD MTOR KLF3 SEMA4F MOGS IFT122 KDM5A CHD4 TNFRSF1A CREBL2 EHD2 HPN POLG KIAA0556 NADSYN1 CABIN1 CPM UPF1 MYO9B CAPN7 PDE4A RNF123 MYO1D HEATR6 BCAS3 SEPT4 PDK2 CDK12 NBR1 TMC6 TTC38 CALCOCO1 MCM4 ST6GAL1 BRWD1 IFT140 HLA-DRB1 PEX6 DHX57 KIAA0141 GPR137 UBTD1 MGEA5"
"PARENT_MTOR_SIGNALING_DN"	"MSigDB_c2_cgp_v5"	"1361"	"  38"	"  7"	"1.907272e-02"	"1.429578e-01"	"ALMS1 ADAM19 MPRIP MYL4 ENGASE VEGFA CD248"
"PYEON_HPV_POSITIVE_TUMORS_UP"	"MSigDB_c2_cgp_v5"	"1361"	"  79"	"  9"	"1.791786e-01"	"4.673228e-01"	"NOTCH1 SCAI KNTC1 TM7SF3 IL17RB ZNF367 RMI2 PRDM15 UHRF1"
"NAKAMURA_TUMOR_ZONE_PERIPHERAL_VS_CENTRAL_UP"	"MSigDB_c2_cgp_v5"	"1361"	" 251"	" 17"	"8.842737e-01"	"9.917088e-01"	"FAM129A LRRC8A RND3 LRP4 THBS1 FGF13 IRAK1 ARHGEF18 ETS1 SLC35F2 ADAM19 INHBA VCAN IL7R APOBEC3B ABCC10 CXXC5"
