"PathwayName"	"DataBase"	"SignatureSize"	"PathwaySize"	"Overlap"	"Pvalue"	"Qvalue"	"OverlapGenes"
"NAKAMURA_CANCER_MICROENVIRONMENT_UP"	"MSigDB_c2_cgp_v5"	"1200"	"  17"	"  0"	"7.589210e-01"	"9.340567e-01"	""
"NAKAMURA_CANCER_MICROENVIRONMENT_DN"	"MSigDB_c2_cgp_v5"	"1200"	"  43"	"  7"	"1.949347e-02"	"1.026237e-01"	"ASNS MARS SYNCRIP RFC4 PSMG1 TCP1 PSAT1"
"WEST_ADRENOCORTICAL_TUMOR_MARKERS_UP"	"MSigDB_c2_cgp_v5"	"1200"	"  18"	"  2"	"1.711659e-01"	"4.333133e-01"	"MVK SQLE"
"WEST_ADRENOCORTICAL_TUMOR_MARKERS_DN"	"MSigDB_c2_cgp_v5"	"1200"	"  16"	"  2"	"1.319095e-01"	"3.740033e-01"	"IGFBP5 PDGFRA"
"WINTER_HYPOXIA_UP"	"MSigDB_c2_cgp_v5"	"1200"	"  83"	" 19"	"6.407689e-06"	"1.574902e-04"	"CNIH4 PSMB7 HAUS2 GSS PSMA7 SLC6A8 PGK1 SLC2A1 HES2 RAN LDHA BNIP3 P4HA1 MIF ANKRD37 PGF SLIRP SNX24 PGAM1"
"WINTER_HYPOXIA_DN"	"MSigDB_c2_cgp_v5"	"1200"	"  45"	"  1"	"8.861052e-01"	"9.830443e-01"	"TLR7"
"PARENT_MTOR_SIGNALING_UP"	"MSigDB_c2_cgp_v5"	"1200"	" 502"	" 39"	"5.431781e-01"	"8.076409e-01"	"IL1R1 PDE6D VAMP4 AIM2 FH LAMB3 PLCB1 NSDHL SLC6A8 PGK1 FDPS CD53 DBT GRHPR FAF1 NASP PPIE PLOD1 HOPX DCTN5 DDIT4 TSPAN31 NAB2 CD63 SLC25A4 WWOX CRYL1 TRANK1 MRPS27 HMGCS1 C14orf159 CYP46A1 OXR1 SNTB1 RSL1D1 EIF2B5 ATP6V0E1 BIN1 COMMD10"
"PARENT_MTOR_SIGNALING_DN"	"MSigDB_c2_cgp_v5"	"1200"	"  38"	"  1"	"8.206083e-01"	"9.593357e-01"	"POLR3G"
"PYEON_HPV_POSITIVE_TUMORS_UP"	"MSigDB_c2_cgp_v5"	"1200"	"  79"	"  5"	"6.160664e-01"	"8.611983e-01"	"CDKN2A NASP RBBP4 CAMTA1 RTKN2"
"NAKAMURA_TUMOR_ZONE_PERIPHERAL_VS_CENTRAL_UP"	"MSigDB_c2_cgp_v5"	"1200"	" 251"	" 35"	"4.619608e-04"	"5.805338e-03"	"HSPE1 GLRX2 FH MRPL47 SCHIP1 ATP6V0D2 PSMB2 MINOS1 FBLIM1 AURKAIP1 PSMC2 G3BP2 ANXA3 ATP5I POMP MRPL48 PSMA1 DCTN5 ANO1 MRPL42 GLIPR1 SUGT1 PSMA4 COL12A1 SYNCRIP PSMC3IP KPNA2 PSMD12 PSMA6 PSMA3 PSMC1 TUBA1C RFC4 CCDC58 C9orf85"
"NAKAMURA_TUMOR_ZONE_PERIPHERAL_VS_CENTRAL_DN"	"MSigDB_c2_cgp_v5"	"1200"	" 526"	" 47"	"1.918558e-01"	"4.642774e-01"	"PTP4A1 IL1R1 BZW1 IGFBP5 RALGAPA2 B4GALT5 ZBTB33 LAMP2 SLC6A8 ABCB7 PGK1 FABP5 UBE2D3 ASPH RRAGD HSD17B11 SPP1 BNIP3 P4HA1 ANAPC16 COL6A1 ADARB1 NXPH4 NAB2 TUSC3 ANKRD37 TRIM29 IGFBP3 UGP2 NUDCD2 CCNG1 CNOT8 EIF4A1 ABCC3 KRT23 GMDS ZNF91 NAMPT GALC CARD6 KDELR3 LITAF RSL1D1 XDH CCNY ZNF24 LOX"
"PICCALUGA_ANGIOIMMUNOBLASTIC_LYMPHOMA_UP"	"MSigDB_c2_cgp_v5"	"1200"	" 186"	" 21"	"4.267894e-02"	"1.815115e-01"	"IDH1 IGFBP5 SERPING1 FAM198B CTTNBP2NL PDLIM5 LPAR1 PDGFRA APOC1 SERPINH1 SEPT10 COL6A1 CD63 C8orf4 COL12A1 ATOX1 ABCC3 PGF RAI14 C2 CYP1B1"
"PICCALUGA_ANGIOIMMUNOBLASTIC_LYMPHOMA_DN"	"MSigDB_c2_cgp_v5"	"1200"	" 123"	"  9"	"5.306240e-01"	"8.012383e-01"	"PTP4A1 LY9 TIPARP EIF4E G3BP2 REL NAMPT MOAP1 CREM"
"LU_TUMOR_VASCULATURE_UP"	"MSigDB_c2_cgp_v5"	"1200"	"  25"	"  4"	"4.548496e-02"	"1.889161e-01"	"TNFAIP6 HOPX SPP1 RPS11"
"KORKOLA_EMBRYONAL_CARCINOMA_UP"	"MSigDB_c2_cgp_v5"	"1200"	"  38"	"  0"	"9.585112e-01"	"9.988232e-01"	""
